state,latitude,longitude
Johor,1.937344,103.366585
Kedah,6.155672,100.569649
Kelantan,6.125397,102.238068
Melaka,2.329374,102.288096
Negeri Sembilan,2.731813,102.252502
Pahang,3.974341,102.438057
Perak,4.69395,101.117577
Perlis,6.443589,100.216599
Pulau Pinang,5.285153,100.456238
Sabah,5.420404,116.796783
Sarawak,2.502385,112.954728
Selangor,3.509247,101.524803
Terengganu,4.863074,102.99493
W.P. Kuala Lumpur,3.140853,101.693207
W.P. Labuan,5.285153,115.247787
