"state","Total_Registrations"
"Johor",8128
"Kedah",2216
"Kelantan",1460
"Melaka",1580
"Negeri Sembilan",1096
"Pahang",1506
"Perak",2287
"Perlis",352
"Pulau Pinang",3336
"Rakan Niaga",417594
"Sabah",5270
"Sarawak",5751
"Selangor",8756
"Terengganu",993
"W.P. Kuala Lumpur",26805
"W.P. Labuan",721
